question,target,urls,indexes
Как посмотреть лимиты счета и выплаты за определенный период?,"Чтобы посмотреть лимиты счета откройте раздел «Сводка». В разделе «Счета» найдите нужное юридическое лицо и нажмите на него. В открывшемся окне будут показаны лимиты по всем расчетным счетам, связанным с этим юридическим лицом. Чтобы посмотреть выплаты за определенный период, в личном кабинете Jump.Finance откройте раздел «Сводка». Перейдите в раздел «Статистика», расположенный над графиком. Выберите период: «Неделя», «Месяц», «Квартал», «Год». Для кастомного периода нажмите на серый прямоугольник над графиком, выберите даты, затем нажмите «Применить». График отобразит динамику и суммы всех выплат за указанный период.","['https://www.tinkoff.ru/business/help/business-payout/jump/about/summary/?card=q1', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/summary/?card=q2']","[0, 1]"
"Как посмотреть список выплат с ошибкой и список выплат, которые ждут подтверждения? Как посмотреть лимиты по филиалам?","Чтобы посмотреть список выплат с ошибкой: В личном кабинете Jump.Finance откройте раздел «Сводка». В разделе «Статистика» нажмите на прямоугольник «Выплаты с ошибкой». Чтобы посмотреть список выплат, которые ждут подтверждения: В личном кабинете Jump.Finance откройте раздел «Сводка». В разделе «Статистика» нажмите на прямоугольник «Выплаты ждут подтверждения». Чтобы посмотреть лимиты по филиалам: Откройте раздел «Сводка». Найдите блок «Лимиты по филиалам». Нажмите на «Показать все», чтобы увидеть лимиты по всем филиалам. Для просмотра информации по конкретному филиалу выберите нужное юридическое лицо. Также можно увидеть данные об остатках лимитов.","['https://www.tinkoff.ru/business/help/business-payout/jump/about/summary/?card=q3', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/summary/?card=q4', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/summary/?card=q5']","[2, 3, 4]"
Как обратиться в поддержку и какие бывают статусы выплат? Как создать выплату и как найти нужную?,"Чтобы обратиться в поддержку: Войдите в личный кабинет Jump.Finance. Нажмите на синий кружок в правом нижнем углу экрана. В открывшемся окне нажмите на «Отправить сообщение». Напишите ваш вопрос и нажмите на голубую стрелку для отправки сообщения. Ожидайте ответа от специалиста. Статусы выплат: Ожидает подтверждения — выплата успешно создана и ждет подтверждения. Можно редактировать, отменить, скопировать или подтвердить выплату. Готова к проведению — выплата подтверждена и готова к проведению. Можно редактировать, отменить, скопировать или подтвердить выплату. В обработке у банка — выплата проведена и находится в обработке. Ошибка — выплата содержит ошибку и не может быть реализована. Можно редактировать, отменить или повторить выплату. Успешно совершена — выплата успешно завершена. Можно скопировать как новую. Отменена — выплата была отменена. Можно скопировать как новую. Чтобы создать выплату: Перейдите в раздел «Выплаты» и нажмите кнопку «Создать». Введите номер телефона получателя или ФИО, если выплата уже осуществлялась ранее. Нажмите «Далее» и укажите: Юридическое лицо; Филиал (если применимо); Счет для списания; Тип договора, номер договора и VIN автомобиля. Выберите способ перевода (Телефон или Карта) и заполните соответствующие данные. Укажите сумму перевода, добавьте файлы при необходимости и нажмите «Создать». Чтобы найти нужную выплату: Откройте раздел «Выплаты» на телефоне или компьютере. Используйте фильтры: ФИО или телефон; Номер договора или VIN (для автодилеров); Дата (конкретный день или период); Юридическое лицо.","['https://www.tinkoff.ru/business/help/business-payout/jump/about/summary/?card=q6', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q1', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q2', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q10']","[5, 6, 7, 8]"
Как редактировать выплату и как ее подтвердить?,"Чтобы отредактировать выплату: Если ошибка обнаружена до подтверждения: Перейдите в раздел «Выплаты», затем в подраздел «Подтвердить». Найдите нужную выплату и нажмите на нее. Промотайте вниз и нажмите кнопку «Редактировать». Исправьте неверную информацию и нажмите «Сохранить». Выплата останется в разделе «Подтвердить». Если ошибка обнаружена после подтверждения, но до оплаты: Перейдите в раздел «Выплаты», затем в подраздел «Оплатить». Найдите нужную выплату и нажмите на нее. Промотайте вниз и нажмите кнопку «Редактировать». Исправьте неверную информацию и нажмите «Сохранить». Выплата вернется в раздел «Подтвердить». Чтобы подтвердить выплату: Перейдите в раздел «Выплаты», затем в подраздел «Подтвердить». Найдите нужную выплату и нажмите на нее. В открывшемся окне нажмите кнопку «Подтвердить и оплатить». Для подтверждения сразу нескольких выплат: В разделе «Выплаты» → «Подтвердить» отметьте чекбоксы у нужных выплат. Нажмите кнопку «Подтвердить и оплатить». ","['https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q3', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q4']","[9, 10]"
Как повторить выплату с ошибкой и как получить чек по выплате?,"Чтобы повторить выплату с ошибкой: Перейдите в раздел «Выплаты» в личном кабинете Jump.Finance. Откройте подраздел «Ошибка выплаты». Найдите интересующую вас выплату и нажмите кнопку «Повторить». При необходимости внесите изменения, нажав «Редактировать», затем сохраните их. Чтобы получить чек по выплате: Войдите в раздел «Выплаты». Перейдите в подраздел «Оплаченные». Найдите нужную выплату. Нажмите на иконку чека рядом с выплатой. Введите код с картинки и нажмите «Проверить», чтобы получить чек. ","['https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q5', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q6']","[11, 12]"
Как повторить отмененную выплату? Как скопировать выплату как новую и как отменить выплату?,"Чтобы повторить отмененную выплату: Перейдите в раздел «Выплаты». Откройте подраздел «Отмененные». Найдите нужную выплату и нажмите «Скопировать как новую». Выплата будет создана с теми же данными. Чтобы скопировать выплату как новую: Перейдите в раздел «Выплаты» («Подтвердить», «Оплатить», «Оплаченные» или другой соответствующий). Найдите нужную выплату и нажмите на нее. В открывшемся окне нажмите «Еще…» и выберите «Скопировать как новую». Чтобы отменить выплату: Перейдите в раздел «Выплаты» («Подтвердить», «Оплатить» или «Ошибка выплаты»). Найдите нужную выплату и нажмите на нее. В открывшемся окне нажмите «Еще…» и выберите «Отменить выплату». ","['https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q7', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q8', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/payments/?card=q9']","[13, 14, 15]"
Как занести получателя в базу и как найти историю выплат получателю?,"Чтобы занести получателя в базу: Перейдите в раздел «Получатели». Нажмите на значок «+» в верхней части экрана. Введите номер телефона нового получателя. Укажите данные получателя: ФИО; правовой статус; ИНН; юридическое лицо. Нажмите кнопку «Добавить». Если получатель создается при выплате, он автоматически добавляется в базу. Чтобы найти историю выплат получателю: Перейдите в раздел «Получатели». Используйте строку поиска (нажмите на значок лупы) для поиска получателя. Нажмите на нужного получателя. В открывшемся окне перейдите в подраздел «Выплаты», где будет отображена история выплат этому получателю. ","['https://www.tinkoff.ru/business/help/business-payout/jump/about/recipient/?card=q1', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/recipient/?card=q2']","[16, 17]"
Как найти реквизиты получателя и как найти файлы получателя? Как получить список всех получателей? И что такое «Акты»?,"Чтобы найти реквизиты получателя: Перейдите в раздел «Получатели». Используйте строку поиска (нажмите на значок лупы) для нахождения нужного получателя. Нажмите на имя получателя. В открывшемся окне перейдите в подраздел «Реквизиты», где будут отображены реквизиты. Чтобы найти файлы получателя: Перейдите в раздел «Получатели». Используйте строку поиска для нахождения получателя. Нажмите на нужного получателя. В подразделе «Файлы» вы найдете загруженные файлы, связанные с этим получателем. Чтобы получить список всех получателей: Перейдите в раздел «Получатели». Нажмите на значок многоточия. В открывшемся меню выберите «Экспорт». Список всех получателей будет скачан на ваше устройство в формате XML. Что такое «Акты»: Раздел «Акты» предназначен для создания и просмотра актов ПСА (принятия-сдачи работ/услуг). В списке отображаются: номер акта (с ссылкой на документ); дата акта; получатель (с ссылкой на профиль); сумма; юридическое лицо и филиал; выплата (с ссылкой на карточку выплаты); статус выплаты.","['https://www.tinkoff.ru/business/help/business-payout/jump/about/recipient/?card=q3', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/recipient/?card=q4', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/recipient/?card=q5', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/act/?card=q1']","[18, 19, 20, 21]"
Как создать и оплатить акт? Как проверить паспорт получателя?,"Чтобы создать и оплатить акт: Перейдите в раздел «Акты» в главном меню. Нажмите «Создать». Если получатель уже был добавлен ранее, введите его имя или номер телефона и нажмите «Дальше». Если получателя нет в базе, введите номер телефона, заполните все необходимые поля и нажмите «Дальше». Для граждан РФ вы можете использовать функцию «Заполнить из фото» для распознавания паспорта. Загрузите фото страниц с ФИО и регистрацией (только одно фото, остальные данные вводятся вручную). Заполните форму акта, укажите данные юрлица, выберите единицы измерения и параметры, затем нажмите «Создать». Чтобы оплатить акт, нажмите «Оплатить», заполните поля и подтвердите оплату. Статус выплаты будет отображаться рядом с актом: «Оплачено», «Нужно подтверждение», «Ошибка выплаты», или «Отменена». Чтобы проверить паспорт получателя: При создании акта введите номер телефона получателя. Заполните паспортные данные вручную или используйте «Заполнить из фото» для загрузки изображения паспорта (работает только для граждан РФ). Нажмите «Проверить паспорт по базам МВД». Проверка займет несколько минут. Система проверит срок действия паспорта и его наличие в черных списках Федеральной службы по финансовому мониторингу и других базах. После проверки система покажет статус и рекомендации по дальнейшим действиям. ","['https://www.tinkoff.ru/business/help/business-payout/jump/about/act/?card=q2', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/act/?card=q6']","[22, 23]"
Как скачать акты и как настроить права пользователей для актов?,"Чтобы скачать акты: Откройте раздел «Акты» в личном кабинете Jump.Finance. На телефоне нажмите на три точки и выберите «Экспортировать». На компьютере нажмите на иконку стрелки. Выберите период, за который нужно скачать акты, компанию и формат (xlsx для формата журнала или zip-архив для отдельных файлов с актами). Нажмите «Экспортировать». Готово! Акты будут скачаны на ваше устройство. Чтобы настроить права пользователей для актов: Перейдите в раздел «Настройки» → «Пользователи». Пролистайте страницу вниз до раздела прав доступа. Для создания актов включите опцию «Создание акта», чтобы пользователь мог создавать акты. Для просмотра актов включите опцию «Просмотр актов», чтобы пользователь мог просматривать все акты.","['https://www.tinkoff.ru/business/help/business-payout/jump/about/act/?card=q4', 'https://www.tinkoff.ru/business/help/business-payout/jump/about/act/?card=q3']","[24, 25]"
